address, ransomware name,numTreceive,BTCreceive,
15sJ3pT7J6zefRs95SEsfBZMz8jAw1zAbh,CryptoLocker,10,16.04179324,"25,95562548"
1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,CryptoLocker,9,9.91383224,
1EJbVfn5hXQ9JcfRyn965UKpNX4qxRW7pY,CryptoLocker,0,0,
14bgivtRtTjzwiS4rRECoKGXkSZbf1Co39,CryptoLocker,0,0,
1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015,22,2.504465,
1382JAg5xbQv7QNwq1svDeyw6ELtNCmujG,DMALocker,1,0.6,
1MfVk1utxgvGjMFV3K3CzXsDRDZznj5tey,Bucbi,1,"0,00896",
18AVPLKGBamXtGpdT3kP2b5Dv3iBUDpjKv,CryptoHost,1,0.002,
1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,7ev3n,1,0.00111225,
15Y2TmHrxjmRFxfNUttwb9aU4DifvDpWKM,TeslaCrypt,1,0.0001,
1NRn15kJnVRrptTSQJJnMD9KJcWkVFh1Gv,TeslaCrypt,0,0,
14dqhE6XPoxkkttwwh7qTWmmSwXerWd2Ho,ThunderCrypt,0,0,
18yfx86BwNK5xYKw71uaHwAxPgCGRJaqgg,ThunderCrypt,0,0,
1HFY12o56xbHer3oeNxC99A7SGyXaR64hs,ThunderCrypt,0,0,
1N82pq3XovKoJYqUmTrRiXftpNHZyu4jyv,Trump Locker,0,0,
1AoNMLZfhw7cbMCKAhaKHiveMdwFyVUGeA,Buddy,0,0,
1JHxr5sbXDoZuDsx624TmZ2MWyDdD9ag8K,Chimera,0,0,
1Hf2vPmYNxzFYWiaURs75h8JoyCczLXCG2,CTB Locker,0,0,
1E4jsfwFsKVaAVFNfrmGVgDY1HRU8qf7PV,CTB Locker,0,0,
15fbyNgDnqYQR5vSHJ8PTAEJbKy4dwNBCZ,Jigsaw,1,0.002,
,,47,29.06530273,
